section,title,url,platform,handle,notes
ai_in_the_news,Open AI on a funding spree,https://openai.com/index/accelerating-the-next-phase-ai/,,,
ai_in_the_news,But Claude's the one doing the heavy lifting,https://mythos-5.org/,,,
ai_in_the_news,Microsoft with a big Japanese advantage,https://www.reuters.com/business/media-telecom/microsoft-invest-10-billion-japan-ai-cyber-defence-expansion-2026-04-03/,,,
trending_on_social,,https://x.com/nic_carter/status/2039687558775370065,x,nic_carter,People are going crazy on X after seeing someone actually vibe code a unicorn. This is living proof that vibe coding has already become next big thing.
trending_on_social,,https://x.com/Fried_rice/status/2038894956459290963,x,fried_rice,"This one's big. I mean really big. 34M views. Claude Code's source code was somehow leaked. And what followed was a crazy episode. Almost everyone cloned the repo, someone ported it to python, Claude tried to lawyer up, stay tuned."
weekly_reads,Every Building you've been in has been designed by software,https://www.a16z.news/p/every-building-youve-ever-been-in?,,,
weekly_reads,What I learned getting companies to use AI,https://every.to/also-true-for-humans/seven-things-i-ve-learned-getting-companies-to-use-ai,,,
